,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
45,08/03/2023 05:10:41,@YahooFinance,Yahoo Finance,In testimony before lawmakers on Tuesday Federal Reserve Chair Jerome Powell told Congress interest rates would likely continue rising amid a 'bumpy' process to bring down inflation. https://t.co/1KJNiC2x1h,https://twitter.com/YahooFinance/status/1633334400204013570,SocialFlow,New,7,17
46,08/03/2023 01:22:27,@YahooFinance,Yahoo Finance,JetBlue CEO defends Spirit deal insists passengers will save money https://t.co/mS8xTPZ8Tz,https://twitter.com/YahooFinance/status/1633276963011059712,SocialFlow,New,5,8
47,08/03/2023 00:58:48,@YahooFinance,Yahoo Finance,US FTC asked Twitter for details on Musk's internal communications: House report https://t.co/hwCPPyCOQL,https://twitter.com/YahooFinance/status/1633271010085703681,SocialFlow,New,1,1
48,08/03/2023 00:55:45,@YahooFinance,Yahoo Finance,WeWork is in talks to raise hundreds of millions in cash https://t.co/TQ6b4tkr29 via @business,https://twitter.com/YahooFinance/status/1633270243719249920,SocialFlow,New,1,2
49,08/03/2023 00:50:59,@YahooFinance,Yahoo Finance,Citadel's Griffin says the Fed needs more consistency to tame inflation https://t.co/80ojOyhRz2,https://twitter.com/YahooFinance/status/1633269043481419776,SocialFlow,New,2,6
50,08/03/2023 00:34:43,@YahooFinance,Yahoo Finance,TikTok is staring down yet another potential national ban as Sens. Mark Warner (D-VA) and John Thune (R-SD) are set to introduce a bipartisan bill seeking to shut the app out of the U.S. https://t.co/shYZlcmbul,https://twitter.com/YahooFinance/status/1633264950767673344,SocialFlow,New,9,28
51,08/03/2023 00:07:26,@YahooFinance,Yahoo Finance,Buy-now-pay-later borrowers struggle more financially study finds https://t.co/U0NPC76q1I by @__gabriellacruz https://t.co/QJu60uba6E,https://twitter.com/YahooFinance/status/1633258084733972480,SocialFlow,New,6,11
52,08/03/2023 00:06:11,@YahooFinance,Yahoo Finance,Stocks moving in after-hours: Stitch Fix CrowdStrike https://t.co/E6dMu7CXBG by @ines_ferre https://t.co/3rbNGZRIop,https://twitter.com/YahooFinance/status/1633257771612409857,SocialFlow,New,3,10
53,07/03/2023 23:59:00,@YahooFinance,Yahoo Finance,What lies ahead for President Biden's student debt relief plan? https://t.co/d5XZW3Z5sI,https://twitter.com/YahooFinance/status/1633255962491404292,Twitter Media Studio,New,5,11
54,07/03/2023 23:43:44,@YahooFinance,Yahoo Finance,"""We're not yet at the place where people look at this and say 'Wow I just want to put that on' but Apple just might help create that hockey-stick moment."" https://t.co/mVvZgJGFCm",https://twitter.com/YahooFinance/status/1633252119389294593,SocialFlow,New,1,8
